,start,end,duration
3067,1241092420,1241093422,1002
3069,1241093492,1241096192,2700
3074,1241096192,1241100288,4096
2599,1241100288,1241104384,4096
2600,1241104384,1241108480,4096
2601,1241108480,1241112576,4096
2602,1241112576,1241116672,4096
2603,1241116672,1241120768,4096
2597,1241120768,1241123810,3042
2593,1241123878,1241124864,986
2604,1241124864,1241128960,4096
2605,1241128960,1241133056,4096
2606,1241133056,1241137152,4096
2607,1241137152,1241141248,4096
2608,1241141248,1241145344,4096
2609,1241145344,1241149440,4096
2610,1241149440,1241153536,4096
2611,1241153536,1241157632,4096
2612,1241157632,1241161728,4096
2613,1241161728,1241165824,4096
2614,1241165824,1241169920,4096
2615,1241169920,1241174016,4096
2594,1241174016,1241175681,1665
2595,1241175793,1241178112,2319
2591,1241178112,1241178492,380
2598,1241178564,1241182208,3644
2616,1241182208,1241186304,4096
2617,1241186304,1241190400,4096
2618,1241190400,1241194496,4096
2596,1241194496,1241196917,2421
2592,1241197660,1241198592,932
2619,1241198592,1241202688,4096
5134,1241202688,1241206784,4096
5135,1241206784,1241210880,4096
5133,1241210880,1241214225,3345
5130,1241242959,1241243122,163
5131,1241243169,1241243648,479
5136,1241243648,1241247744,4096
5137,1241247744,1241251840,4096
5138,1241251840,1241255936,4096
5139,1241255936,1241260032,4096
5140,1241260032,1241264128,4096
5141,1241264128,1241268224,4096
5142,1241268224,1241272320,4096
5132,1241272320,1241275548,3228
411,1241302060,1241305088,3028
412,1241305088,1241309184,4096
406,1241309184,1241309944,760
410,1241310397,1241313280,2883
413,1241313280,1241317376,4096
414,1241317376,1241321472,4096
415,1241321472,1241325568,4096
416,1241325568,1241329664,4096
417,1241329664,1241333760,4096
403,1241333760,1241334204,444
400,1241366461,1241366528,67
418,1241366528,1241370624,4096
419,1241370624,1241374720,4096
407,1241374720,1241376164,1444
401,1241376243,1241376348,105
405,1241381956,1241382706,750
404,1241390460,1241391104,644
402,1241391104,1241391237,133
408,1241393338,1241395200,1862
409,1241395200,1241397900,2700
5308,1241402964,1241403392,428
5317,1241403392,1241407488,4096
5311,1241407488,1241409504,2016
5312,1241417182,1241419776,2594
5318,1241419776,1241423872,4096
5319,1241423872,1241427968,4096
5320,1241427968,1241432064,4096
5321,1241432064,1241436160,4096
5322,1241436160,1241440256,4096
5323,1241440256,1241444352,4096
5324,1241444352,1241448448,4096
5325,1241448448,1241452544,4096
5313,1241452544,1241455140,2596
5316,1241469393,1241473024,3631
5310,1241473024,1241474688,1664
5309,1241476088,1241477120,1032
5307,1241477120,1241477440,320
5314,1241482257,1241485312,3055
5326,1241485312,1241489408,4096
5327,1241489408,1241493504,4096
5315,1241493504,1241496841,3337
2495,1241502042,1241505792,3750
2496,1241505792,1241509888,4096
2497,1241509888,1241513984,4096
2498,1241513984,1241518080,4096
2499,1241518080,1241522176,4096
2500,1241522176,1241526272,4096
2501,1241526272,1241530368,4096
2502,1241530368,1241534464,4096
2503,1241534464,1241538560,4096
2504,1241538560,1241542656,4096
2492,1241542656,1241543561,905
2491,1241546148,1241546752,604
2505,1241546752,1241550848,4096
2506,1241550848,1241554944,4096
2507,1241554944,1241559040,4096
2508,1241559040,1241563136,4096
2509,1241563136,1241567232,4096
2494,1241567232,1241569520,2288
2493,1241569755,1241571328,1573
2510,1241571328,1241575424,4096
2511,1241575424,1241579520,4096
2512,1241579520,1241583616,4096
2513,1241583616,1241587712,4096
2514,1241587712,1241591808,4096
2515,1241591808,1241595904,4096
2516,1241595904,1241600000,4096
5516,1241600000,1241604096,4096
5517,1241604096,1241608192,4096
5518,1241608192,1241612288,4096
5519,1241612288,1241616384,4096
5520,1241616384,1241620480,4096
5521,1241620480,1241624576,4096
5522,1241624576,1241628672,4096
5523,1241628672,1241632768,4096
5524,1241632768,1241636864,4096
5525,1241636864,1241640960,4096
5526,1241640960,1241645056,4096
5527,1241645056,1241649152,4096
5528,1241649152,1241653248,4096
5529,1241653248,1241657344,4096
5530,1241657344,1241661440,4096
5531,1241661440,1241665536,4096
5532,1241665536,1241669632,4096
5533,1241669632,1241673728,4096
5534,1241673728,1241677824,4096
5515,1241677824,1241680362,2538
5514,1241689640,1241690112,472
5535,1241690112,1241694208,4096
5536,1241694208,1241698304,4096
5537,1241698304,1241702400,4096
1989,1241702400,1241706496,4096
1990,1241706496,1241710592,4096
1991,1241710592,1241714688,4096
1992,1241714688,1241718784,4096
1993,1241718784,1241722880,4096
1988,1241722880,1241725020,2140
1987,1241739102,1241739264,162
1994,1241739264,1241743360,4096
1995,1241743360,1241747456,4096
1996,1241747456,1241751552,4096
1997,1241751552,1241755648,4096
1998,1241755648,1241759744,4096
1999,1241759744,1241763840,4096
2000,1241763840,1241767936,4096
2001,1241767936,1241772032,4096
2002,1241772032,1241776128,4096
2003,1241776128,1241780224,4096
2004,1241780224,1241784320,4096
2005,1241784320,1241788416,4096
2006,1241788416,1241792512,4096
2007,1241792512,1241796608,4096
2008,1241796608,1241800704,4096
4381,1241800704,1241804800,4096
4380,1241804800,1241808777,3977
4377,1241810678,1241812992,2314
4382,1241812992,1241817088,4096
4378,1241817088,1241819786,2698
4371,1241820195,1241821184,989
4379,1241821184,1241824573,3389
4373,1241831865,1241833472,1607
4383,1241833472,1241837568,4096
4384,1241837568,1241841664,4096
4385,1241841664,1241845760,4096
4386,1241845760,1241849856,4096
4387,1241849856,1241853952,4096
4388,1241853952,1241858048,4096
4389,1241858048,1241862144,4096
4390,1241862144,1241866240,4096
4372,1241866240,1241867688,1448
4375,1241868465,1241870336,1871
4374,1241870336,1241871981,1645
4376,1241872515,1241874432,1917
4370,1241874432,1241874757,325
1462,1241934582,1241934706,124
1464,1241934797,1241935328,531
1463,1241935423,1241935872,449
1466,1241935872,1241939968,4096
1467,1241939968,1241944064,4096
1468,1241944064,1241948160,4096
1469,1241948160,1241952256,4096
1470,1241952256,1241956352,4096
1465,1241956352,1241959895,3543
4838,1242071790,1242075136,3346
