,start,end,duration
1521,1240326144,1240330240,4096
1522,1240330240,1240334336,4096
1523,1240334336,1240338432,4096
1524,1240338432,1240342528,4096
1525,1240342528,1240346624,4096
1526,1240346624,1240350720,4096
1527,1240350720,1240354816,4096
1528,1240354816,1240358912,4096
1529,1240358912,1240363008,4096
1530,1240363008,1240367104,4096
1531,1240367104,1240371200,4096
1532,1240371200,1240375296,4096
1533,1240375296,1240379392,4096
1534,1240379392,1240383488,4096
1535,1240383488,1240387584,4096
1536,1240387584,1240391680,4096
1537,1240391680,1240395776,4096
1538,1240395776,1240399872,4096
1539,1240399872,1240403968,4096
5984,1240403968,1240408064,4096
5985,1240408064,1240412160,4096
5986,1240412160,1240416256,4096
5987,1240416256,1240420352,4096
5988,1240420352,1240424448,4096
5989,1240424448,1240428544,4096
5990,1240428544,1240432640,4096
5991,1240432640,1240436736,4096
5992,1240436736,1240440832,4096
5993,1240440832,1240444928,4096
5994,1240444928,1240449024,4096
5995,1240449024,1240453120,4096
5996,1240453120,1240457216,4096
5997,1240457216,1240461312,4096
5998,1240461312,1240465408,4096
5999,1240465408,1240469504,4096
5983,1240469504,1240473003,3499
5982,1240479334,1240481792,2458
6000,1240481792,1240485888,4096
6001,1240485888,1240489984,4096
6002,1240489984,1240494080,4096
6003,1240494080,1240498176,4096
6004,1240498176,1240502272,4096
4014,1240502272,1240506368,4096
4015,1240506368,1240510464,4096
4016,1240510464,1240514560,4096
4017,1240514560,1240518656,4096
4018,1240518656,1240522752,4096
4019,1240522752,1240526848,4096
4020,1240526848,1240530944,4096
4012,1240530944,1240534093,3149
4003,1240540566,1240540593,27
4007,1240540693,1240540909,216
4009,1240542253,1240543232,979
4004,1240543232,1240543295,63
4005,1240551281,1240551424,143
4006,1240551424,1240551590,166
4008,1240553514,1240554241,727
4010,1240554253,1240555520,1267
4021,1240555520,1240559616,4096
4022,1240559616,1240563712,4096
4023,1240563712,1240567808,4096
4024,1240567808,1240571904,4096
4025,1240571904,1240576000,4096
4026,1240576000,1240580096,4096
4027,1240580096,1240584192,4096
4013,1240584192,1240587612,3420
4011,1240594562,1240596480,1918
4028,1240596480,1240600576,4096
2264,1240600576,1240604672,4096
2262,1240604672,1240606967,2295
2259,1240620999,1240621056,57
2265,1240621056,1240625152,4096
2266,1240625152,1240629248,4096
2267,1240629248,1240633344,4096
2268,1240633344,1240637440,4096
2269,1240637440,1240641536,4096
2270,1240641536,1240645632,4096
2271,1240645632,1240649728,4096
2272,1240649728,1240653824,4096
2260,1240653824,1240654372,548
2263,1240658942,1240662016,3074
2273,1240662016,1240666112,4096
2261,1240666112,1240668052,1940
6033,1240700690,1240702976,2286
6038,1240702976,1240707072,4096
6039,1240707072,1240711168,4096
6040,1240711168,1240715264,4096
6041,1240715264,1240719360,4096
6042,1240719360,1240723456,4096
6043,1240723456,1240727552,4096
6044,1240727552,1240731648,4096
6037,1240731648,1240735662,4014
6030,1240743328,1240743936,608
6045,1240743936,1240748032,4096
6031,1240748032,1240749001,969
6032,1240750849,1240752128,1279
6046,1240752128,1240756224,4096
6047,1240756224,1240760320,4096
6034,1240760320,1240763403,3083
6036,1240764591,1240768512,3921
6048,1240768512,1240772608,4096
6035,1240772608,1240776392,3784
6029,1240784297,1240784896,599
6049,1240784896,1240788992,4096
6050,1240788992,1240793088,4096
6051,1240793088,1240797184,4096
6052,1240797184,1240801280,4096
1065,1240801280,1240805376,4096
1066,1240805376,1240809472,4096
1067,1240809472,1240813568,4096
1068,1240813568,1240817664,4096
1069,1240817664,1240821760,4096
1070,1240821760,1240825856,4096
1071,1240825856,1240829952,4096
1060,1240829952,1240832478,2526
1057,1240838298,1240838702,404
1063,1240838811,1240842240,3429
1072,1240842240,1240846336,4096
1059,1240846336,1240847405,1069
1062,1240847501,1240850432,2931
1064,1240850432,1240854290,3858
1056,1240854334,1240854528,194
1058,1240854528,1240855238,710
1061,1240872121,1240875008,2887
1073,1240875008,1240879104,4096
1074,1240879104,1240883200,4096
1075,1240883200,1240887296,4096
1076,1240887296,1240891392,4096
1077,1240891392,1240895488,4096
1078,1240895488,1240899584,4096
1079,1240899584,1240903680,4096
5106,1240903680,1240906993,3313
5105,1240914063,1240915968,1905
5107,1240915968,1240920064,4096
5108,1240920064,1240924160,4096
5109,1240924160,1240928256,4096
5110,1240928256,1240932352,4096
5111,1240932352,1240936448,4096
5112,1240936448,1240940544,4096
5113,1240940544,1240944640,4096
5114,1240944640,1240948736,4096
5115,1240948736,1240952832,4096
5116,1240952832,1240956928,4096
5117,1240956928,1240961024,4096
5118,1240961024,1240965120,4096
5119,1240965120,1240969216,4096
5120,1240969216,1240973312,4096
5121,1240973312,1240977408,4096
5122,1240977408,1240981504,4096
5123,1240981504,1240985600,4096
5124,1240985600,1240989696,4096
5125,1240989696,1240993792,4096
5126,1240993792,1240997888,4096
5127,1240997888,1241001984,4096
515,1241001984,1241005701,3717
510,1241013955,1241014272,317
514,1241014272,1241017532,3260
512,1241020453,1241022464,2011
516,1241022464,1241026560,4096
517,1241026560,1241030656,4096
513,1241030656,1241033766,3110
511,1241045475,1241047040,1565
518,1241047040,1241051136,4096
519,1241051136,1241055232,4096
520,1241055232,1241059328,4096
521,1241059328,1241063424,4096
522,1241063424,1241067520,4096
523,1241067520,1241071616,4096
524,1241071616,1241075712,4096
525,1241075712,1241079808,4096
526,1241079808,1241083904,4096
527,1241083904,1241088000,4096
528,1241088000,1241092096,4096
529,1241092096,1241096192,4096
530,1241096192,1241100288,4096
1497,1241100288,1241104384,4096
1498,1241104384,1241108480,4096
1499,1241108480,1241112576,4096
1500,1241112576,1241116672,4096
1501,1241116672,1241120768,4096
1502,1241120768,1241124864,4096
1503,1241124864,1241128960,4096
1504,1241128960,1241133056,4096
1505,1241133056,1241137152,4096
1506,1241137152,1241141248,4096
1507,1241141248,1241145344,4096
1508,1241145344,1241149440,4096
1509,1241149440,1241153536,4096
1510,1241153536,1241157632,4096
1511,1241157632,1241161728,4096
1512,1241161728,1241165824,4096
1513,1241165824,1241169920,4096
1496,1241169920,1241173823,3903
2177,1241204831,1241206784,1953
2181,1241206784,1241210880,4096
2180,1241210880,1241214069,3189
2175,1241226395,1241227264,869
2182,1241227264,1241231360,4096
2178,1241231360,1241233640,2280
2179,1241236938,1241239552,2614
2183,1241239552,1241243648,4096
2184,1241243648,1241247744,4096
2185,1241247744,1241251840,4096
2186,1241251840,1241255936,4096
2187,1241255936,1241260032,4096
2188,1241260032,1241264128,4096
2189,1241264128,1241268224,4096
2190,1241268224,1241272320,4096
2174,1241272320,1241272618,298
2176,1241295179,1241296896,1717
2191,1241296896,1241300992,4096
3552,1241300992,1241305088,4096
3553,1241305088,1241309184,4096
3554,1241309184,1241313280,4096
3555,1241313280,1241317376,4096
3556,1241317376,1241321472,4096
3557,1241321472,1241325568,4096
3558,1241325568,1241329664,4096
3559,1241329664,1241333760,4096
3560,1241333760,1241337856,4096
3561,1241337856,1241341952,4096
3562,1241341952,1241346048,4096
3563,1241346048,1241350144,4096
3551,1241350144,1241352669,2525
3548,1241358134,1241358336,202
3549,1241358336,1241359401,1065
3550,1241393223,1241395200,1977
3564,1241395200,1241399296,4096
3565,1241399296,1241403392,4096
1086,1241403392,1241407488,4096
1087,1241407488,1241411584,4096
1088,1241411584,1241415680,4096
1089,1241415680,1241419776,4096
1090,1241419776,1241423872,4096
1091,1241423872,1241427968,4096
1092,1241427968,1241432064,4096
1093,1241432064,1241436160,4096
1094,1241436160,1241440256,4096
1095,1241440256,1241444352,4096
1096,1241444352,1241448448,4096
1097,1241448448,1241452544,4096
1083,1241452544,1241454579,2035
1080,1241460140,1241460736,596
1098,1241460736,1241464832,4096
1099,1241464832,1241468928,4096
1100,1241468928,1241473024,4096
1101,1241473024,1241477120,4096
1084,1241477120,1241479787,2667
1081,1241491760,1241493504,1744
1082,1241493504,1241495459,1955
1085,1241498544,1241501696,3152
2506,1241501696,1241505792,4096
2502,1241505792,1241508250,2458
2501,1241508295,1241509888,1593
2507,1241509888,1241513984,4096
2508,1241513984,1241518080,4096
2509,1241518080,1241522176,4096
2505,1241522176,1241525423,3247
2500,1241545751,1241546752,1001
2510,1241546752,1241550848,4096
2511,1241550848,1241554944,4096
2512,1241554944,1241559040,4096
2513,1241559040,1241563136,4096
2514,1241563136,1241567232,4096
2515,1241567232,1241571328,4096
2516,1241571328,1241575424,4096
2517,1241575424,1241579520,4096
2518,1241579520,1241583616,4096
2519,1241583616,1241587712,4096
2520,1241587712,1241591808,4096
2503,1241591808,1241594335,2527
2504,1241597285,1241600000,2715
2669,1241600000,1241604096,4096
2670,1241604096,1241608192,4096
2671,1241608192,1241612288,4096
2672,1241612288,1241616384,4096
2667,1241616384,1241616520,136
